epoch,loss,val_loss
0,0.04326025914704405,0.015546445322549049
1,0.021836148039581182,0.01564061119010748
2,0.020275647013945252,0.017801838329088885
3,0.019072722863253046,0.011403745722163044
4,0.018801892174873644,0.015766685281855153
5,0.0186675835051442,0.010661367021417496
6,0.017628132124318796,0.012438419766957604
7,0.01851057082209459,0.01190612634923917
8,0.017731472595774535,0.01092812724153646
9,0.017805122709278226,0.011533961594364857
10,0.01747968481917845,0.01198665335137298
11,0.017014519088007135,0.011082941006705984
12,0.016410442005295334,0.011104533466268782
13,0.016366803670880174,0.009772337941820605
14,0.016064203436714438,0.010261637607918258
15,0.01617557096748131,0.010201074396584039
16,0.01567469895840422,0.009754849698083407
17,0.015685155598614667,0.009079323096887587
18,0.01563324153698375,0.009473284987260206
19,0.01548236601436886,0.008720004003354894
20,0.015351510804847994,0.00973641819822434
21,0.015364985086241267,0.008964574844783302
22,0.015231539636789287,0.008769200054595595
23,0.015356714769834579,0.010867815022687218
24,0.015193032473620463,0.009870424847242881
25,0.015058759228979075,0.009585695583010876
26,0.015407721868521315,0.008543374334880657
27,0.014973465500393702,0.00931231743015178
28,0.015002596329008163,0.008685375826681527
29,0.014904394248048574,0.008719991254474646
30,0.014837170507473704,0.009096606989997879
31,0.014871586192523946,0.009160455802809536
32,0.014965438856118854,0.008446023484624542
33,0.015008996117823789,0.008655569180807754
34,0.01471868553352352,0.009001278238164278
35,0.014613521836562395,0.008511446007403738
36,0.014852353263382724,0.008617830851210897
37,0.014776373438730612,0.008642079445755036
38,0.014726865009807993,0.008983657431457388
39,0.014822563410235636,0.008750951809242442
40,0.01467287795860682,0.008562531582742748
41,0.014700323722812561,0.008514908127158887
42,0.014605045295499771,0.008544967758945416
43,0.014461198497156812,0.008612368424765768
44,0.014662904277327613,0.008347531757932266
45,0.014424820591688406,0.00854100940149782
46,0.014496273304651228,0.008643730459040735
47,0.014377042667715046,0.00838574536478842
48,0.014360596744017658,0.009067184500960498
49,0.014601841782398064,0.008880178178065183
50,0.01441736002064245,0.008868140711345328
51,0.014511447114186771,0.008706466142217503
52,0.014378378755867269,0.008881499327541386
53,0.014414731524691658,0.008635834838213188
54,0.014209123815497274,0.008853824395041149
55,0.014435143729457938,0.009246211820886557
56,0.014290526572058994,0.00915690497660398
57,0.014165530398680418,0.008374976566159384
58,0.01427323744057874,0.008767896261438148
59,0.014181318666120473,0.008948509521114832
60,0.014232112641273859,0.00861641505904603
61,0.01423437686824458,0.008458917816961483
62,0.01420754325812004,0.008387802101084666
63,0.014270053954435917,0.00859584127903245
64,0.014026773928786283,0.008583464733145342
65,0.014080733725202159,0.008644675430488356
66,0.014050405304938037,0.008827924414329466
67,0.014019396568077762,0.008794329101508545
68,0.014054371427528368,0.008451361031185293
69,0.014024459226879603,0.00859430500637788
70,0.013977072513576758,0.009263062186964313
71,0.014052110341842823,0.008497747840426883
72,0.013974895382507268,0.008363977508461613
73,0.013881525567409375,0.00844432269163471
74,0.014010730696560624,0.008426364566431036
75,0.013969613050113718,0.008188424372710217
76,0.01389943319501866,0.008544439566221855
77,0.013925059430824558,0.008249143596627631
78,0.014010724787610234,0.008459482623431264
79,0.013977326466979861,0.008592437185351577
